Name,Mol.form.,molecular weight,melting point,boiling point,density,viscosity,heat capacity,vapor pressure,surface tension,thermal conductivity,Group,Group No.,,normal alkyl,carboxylic,aromatic ring,cyclo,ether,ester,ketone,hydroxyl,nitrile,amine,nitro,halide,fluoride,chloride,bromide,iodide,comment,
Propyl acetate,C5H10O2,102.132,-93,101.54,888 ,0.544,1.921,4.49,23.8,0.14,ester,6,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,,888000
Propyl formate,C4H8O2,88.106,-92.9,80.9,907 ,0.485,1.945,10.9,25.1,0.144,other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,formate,907000
Pyridine,C5H5N,79.101,-41.7,115.23,982 ,0.879,1.678,2.76,36.56,0.166,aromatic,4,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,aromatic amine,982000
Quinoline,C9H7N,129.159,-14.78,237.16,1100 ,3.34,1.51,0.011,42.59,0.147,aromatic,4,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,aromatic amine (naphthalene),1100000
Styrene,C8H8,104.15,-30.65,145,902 ,0.695,1.747,0.81,32.3,0.137,aromatic,4,,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1 unsaturated bond,902000
Tetrachloromethane,CCl4,153.823,-22.62,76.8,1590 ,0.908,0.85,15.2,26.43,0.103,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,1590000
"1,2,3,4-Tetrahydronaphthalene",C10H12,132.202,-35.7,207.6,965 ,2.14,1.645,0.05,33.17,0.131,aromatic,4,,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,aromatic + cyclo,965000
Toluene,C7H8,92.139,-94.95,110.63,867 ,0.56,1.707,3.79,27.73,0.131,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,867000
"1,1,1-Trichloroethane",C2H3Cl3,133.404,-30.01,74.09,1340 ,0.793,1.082,16.5,25.18,0.101,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,1340000
Trichlorofluoromethane,CCl3F,137.368,-110.44,23.7,1490 ,0.421,0.885,106,18.4,0.089,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,,1490000
Trichloromethane,CHCl3,119.378,-63.41,61.17,1480 ,0.537,0.957,26.2,26.67,0.117,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,1480000
"1,1,2-Trichloro-1,2,2-trifluoroethane",C2Cl3F3,187.375,-36.22,47.7,1560 ,0.656,0.908,44.8,17.2,0.0736,alkane+halide,5,,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,,1560000
Tridecane,C13H28,184.361,-5.4,235.47,756 ,1.724,2.206,0.005,25.55,0.13,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,756000
Triethylamine,C6H15N,101.19,-114.7,89,728 ,0.347,2.173,7.7,20.22,0.132,other,,,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,amine,728000
Undecane,C11H24,156.309,-25.5,195.9,740 ,1.098,2.207,0.05,24.21,0.136,alkane,8,,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,740000
Water,H2O,18.015,0,100,997 ,0.89,4.18,3.17,71.99,0.6062,other,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,water,997000
o-Xylene,C8H10,106.165,-25.2,144.5,880 ,0.76,1.753,0.88,29.76,0.131,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,880000
m-Xylene,C8H10,106.165,-47.8,139.12,860 ,0.581,1.724,1.13,28.47,0.13,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,860000
p-Xylene,C8H10,106.165,13.25,138.37,857 ,0.603,1.71,1.19,28.01,0.13,aromatic,4,,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,857000
