ID No.	Nickname	Ref. No	PCE_max(%)	PCE_ave(%)	Voc (V)	Jsc (mA cm^2)	FF	Mw (kg mol^-1)	Mn (kg mol^-1)	PDI (=Mw/Mn)	Monomer (g mol^-1)	-HOMO (eV)	-LUMO (eV)	bandgap(eV)	SMILES
79	H8	S37	0.36 	0.36 	0.370 	2.460 	0.400 	55.3 	29.1 	1.90 	726	4.56 	2.59 	1.97 	CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(OCCO4)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC
80	H1	S37	0.23 	0.23 	0.600 	1.540 	0.260 	40.4 	20.2 	2.00 	866	4.78 	3.15 	1.63 	CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=C3N=C(C5=CC=CC=C5)C(C6=CC=CC=C6)=N4)S7)C7=C2OCCCCCCCCCCCC
81	H7	S37	0.90 	0.90 	0.680 	2.970 	0.440 	31.5 	18.5 	1.70 	720	5.10 	3.40 	1.70 	CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=NSN=C43)S5)C5=C2OCCCCCCCCCCCC
82	H9	S37	0.11 	0.11 	0.220 	1.410 	0.350 	76.1 	34.6 	2.20 	720	4.65 	3.60 	1.05 	CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=C4C(N=CC=N4)=C(C)S3)S5)C5=C2OCCCCCCCCCCCC
83	H11	S37	0.18 	0.18 	0.550 	1.050 	0.320 	35.5 	16.9 	2.10 	768	4.88 	3.36 	1.52 	CC(S1)=CC2=C1C(OCCCCCCCCCCCC)=C(C=C(C3=CC=C(C)C4=N[Se]N=C43)S5)C5=C2OCCCCCCCCCCCC
84	PBDT-BT	S38	9.40 	9.15 	0.920 	15.400 	0.640 	468.0 	112.0 	4.20 	908	5.45 	3.70 	1.75 	CC(S1)=CC2=C1C(C3=CC(CCCCCC)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C)C5=NSN=C54)S6)C6=C2C7=CC(CCCCCC)=C(CC(CCCC)CC)S7
85	PBDTPTD	S39	5.50 	5.50 	0.850 	9.810 	0.660 	34.3 	13.2 	2.60 	737	5.56 	3.76 	1.80 	CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C4C(C(N(CCCCCCCC)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC
86	PBDTBDD	S40	6.67 	6.67 	0.860 	10.680 	0.723 	13.6 	11.5 	1.18 	1212	5.23 	3.43 	1.80 	CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(C(C6=C(CC(CC)CCCC)SC(CC(CC)CCCC)=C6C7=O)=O)C7=C(C8=CC=C(C)S8)S5)S4)S9)C9=C2C%10=CC=C(CC(CCCC)CC)S%10
87	PBQ-4	S41	8.55 	8.55 	0.900 	13.580 	0.702 	54.5 	22.7 	2.40 	1379	5.05 	3.30 	1.73 	CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC(F)=C(CC(CCCC)CC)S%11
88	PBQ-1	S41	5.63 	5.63 	0.640 	12.560 	0.701 	210.3 	68.5 	3.07 	1307	4.66 	2.95 	1.64 	CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)S%11
89	PBQ-2	S41	6.25 	6.25 	0.760 	13.050 	0.633 	23.2 	10.2 	2.27 	1343	4.86 	3.15 	1.66 	CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC(F)=C(CC(CCCC)CC)S%11
90	PBQ-3	S41	7.39 	7.39 	0.800 	13.600 	0.677 	65.5 	18.3 	3.58 	1343	4.92 	3.21 	1.68 	CC(S1)=CC2=C1C(C3=CC=C(CC(CC)CCCC)S3)=C(C=C(C4=CC=C(C5=C(F)C(F)=C(C6=CC=C(C)S6)C7=C5N=C(C8=CC=C(OCCCCCCCC)C=C8)C(C9=CC=C(OCCCCCCCC)C=C9)=N7)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)S%11
91	PBDTTT-S-T	S42	5.93 	5.93 	0.810 	12.270 	0.620 	684.0 	108.6 	6.30 	1032	5.29 	3.68 	1.61 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=C5C(C=C(S(=O)(CC(CCCCCC)CCCCCCCC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(CC(CCCC)CC)S7
92	PDT-S-T	S42	7.79 	7.79 	0.730 	16.630 	0.641 	114.0 	22.4 	5.10 	1144	5.21 	3.68 	1.59 	CC1=C(C=C(S(=O)(CC(CCCCCC)CCCCCCCC)=O)S2)C2=C(C3=CC4=C(S3)C5=C(C6=CC=C(C[C@H](CCCC)CC)S6)C7=C(C(SC(C)=C8)=C8S7)C(C9=CC=C(C[C@@H](CCCC)CC)S9)=C5S4)S1
93	PBDTDTTT-S-T	S43	7.48 	7.48 	0.690 	16.350 	0.663 	125.0 	35.7 	3.50 	1196	5.04 	3.68 	1.59 	CC(S1)=CC2=C1C(C3=CC=C(C[C@H](CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C6C(C=C(S(=O)(CC(CCCCCC)CCCCCCCC)=O)S6)=C(C7=CC=C(C)S7)S5)S4)S8)C8=C2C9=CC=C(C[C@@H](CCCC)CC)S9
94	PBDTBT	S44	1.71 	1.71 	0.760 	5.320 	0.423 	201.3 	54.4 	3.70 	833	5.22 	3.68 	1.67 	CC(S1)=CC2=C1C(OCC(CCCCCCCC)CCCCCC)=C(C=C(C3=CC=C(C)C4=NSN=C43)S5)C5=C2OCC(CCCCCCCC)CCCCCC
95	PBDTDTBT	S44	7.40 	7.40 	0.790 	13.560 	0.691 	353.5 	82.2 	4.30 	996	5.24 	3.68 	1.72 	CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=CC=C(C5=CC(CC(CC)CCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2OCC(CC)CCCC
96	PBDPP-1	S45	2.83 	2.83 	0.690 	6.500 	0.630 	100.0 	40.0 	2.50 	1221	5.29 	3.84 	1.45 	CC(S1)=CC2=C1C(OC[C@H](CCCC)CC)=C(C=C(C3=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C4=O)=C5C4=C(C6=CC=C(C)S6)N(CC(CCCCCC)CCCCCCCC)C5=O)S3)S7)C7=C2OC[C@H](CCCC)CC
97	PBDPP-2	S45	4.23 	4.23 	0.730 	8.420 	0.680 	60.8 	32.0 	1.90 	1353	5.29 	3.84 	1.45 	CC(S1)=CC2=C1C(C3=CC=C(C[C@H](CCCC)CC)S3)=C(C=C(C4=CC=C(C(N(CC(CCCCCC)CCCCCCCC)C5=O)=C6C5=C(C7=CC=C(C)S7)N(CC(CCCCCC)CCCCCCCC)C6=O)S4)S8)C8=C2C9=CC=C(C[C@H](CCCC)CC)S9
98	PBDPP-3	S45	6.18 	6.18 	0.630 	16.250 	0.600 	48.3 	21.0 	2.30 	1465	5.05 	3.62 	1.43 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC5=C(C=C(C(N(CC(CCCCCC)CCCCCCCC)C6=O)=C7C6=C(C8=CC9=C(C=C(C)S9)S8)N(CC(CCCCCC)CCCCCCCC)C7=O)S5)S4)S%10)C%10=C2C%11=CC=C(CC(CCCC)CC)S%11
99	PBDTFQ-T	S46	5.68 	5.30 	0.840 	9.180 	0.670 	270.0 	101.0 	2.67 	1291	6.00 	4.23 	1.77 	CC(S1)=CC2=C1C(CC(CCCC)CCCCCC)=C(C=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=C4N=C(C7=CC=C(OCCCCCCCC)C=C7)C(C8=CC=C(OCCCCCCCC)C=C8)=N6)S3)S9)C9=C2CC(CCCCCC)CCCC
100	PBDTFQ-TT	S46	5.60 	5.29 	0.820 	10.870 	0.590 	42.0 	15.0 	2.80 	1403	5.90 	4.23 	1.71 	CC(S1)=CC2=C1C(CC(CCCC)CCCCCC)=C(C=C(C3=CC4=C(C=C(C5=C(F)C(F)=C(C6=CC7=C(C=C(C)S7)S6)C8=C5N=C(C9=CC=C(OCCCCCCCC)C=C9)C(C%10=CC=C(OCCCCCCCC)C=C%10)=N8)S4)S3)S%11)C%11=C2CC(CCCCCC)CCCC
101	P1	S47	3.30 	3.30 	0.810 	6.110 	0.670 	8.5 	5.3 	1.60 	1233	5.39 	3.52 	1.84 	O=C1N(CC(CCCCCCCCCC)CCCCCCCC)C(C2=C(C3=CC=C(C4=CC=C(C)S4)S3)SC(C5=CC=C(S5)C6=CC=C(C7=CC8=C(OCC(CCCC)CC)C9=C(C=C(C)S9)C(OCC(CCCC)CC)=C8S7)S6)=C21)=O
102	P2	S47	5.55 	5.55 	0.880 	9.300 	0.680 	88.8 	42.3 	2.10 	1181	5.47 	3.40 	1.82 	O=C1N(CC(CCCCCCCCCC)CCCCCCCC)C(C2=C(C3=CC(SC(C)=C4)=C4S3)SC(C5=CC(S6)=C(S5)C=C6C7=CC8=C(OCC(CCCC)CC)C9=C(C=C(C)S9)C(OCC(CCCC)CC)=C8S7)=C21)=O
103	P3	S47	5.77 	5.77 	0.830 	10.600 	0.650 	167.7 	19.5 	8.60 	1238	5.42 	3.52 	1.89 	O=C1N(CC(CCCC)CCCCCC)C(C2=C(C3=CC(SC(C)=C4CCCCCC)=C4S3)SC(C5=CC6=C(S5)C(CCCCCC)=C(C7=CC8=C(OCC(CCCC)CC)C9=C(C=C(C)S9)C(OCC(CCCC)CC)=C8S7)S6)=C21)=O
104	P4	S47	7.71 	7.71 	0.860 	13.700 	0.660 	51.0 	23.2 	2.20 	1482	5.38 	3.47 	1.85 	O=C1N(CC(CCCCCCCCCC)CCCCCCCC)C(C2=C(C3=CC(SC(C)=C4CCCCCC)=C4S3)SC(C5=CC6=C(S5)C(CCCCCC)=C(C7=CC8=C(C9=CC=C(CC(CCCC)CC)S9)C%10=C(C=C(C)S%10)C(C%11=CC=C(CC(CCCC)CC)S%11)=C8S7)S6)=C21)=O
105	PTB1	S48	4.76 	4.76 	0.580 	12.500 	0.654 	22.9 	18.3 	1.25 	824	4.90 	3.20 	1.58 	CC(S1)=CC2=C1C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCCCCCCCCCCCC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC
106	PTB2	S48	5.10 	5.10 	0.600 	12.800 	0.663 	23.2 	16.8 	1.38 	768	4.94 	3.22 	1.59 	CC(S1)=CC2=C1C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCC(CCCC)CC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC
107	PTB5	S48	3.02 	3.02 	0.680 	10.300 	0.431 	22.7 	16.1 	1.41 	768	5.01 	3.24 	1.62 	CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C=C(C(OCCCCCCCC)=O)S4)=C(C)S3)S5)C5=C2OCC(CCCC)CC
108	PTB6	S48	2.26 	2.26 	0.620 	7.740 	0.470 	25.0 	16.7 	1.50 	824	5.01 	3.17 	1.61 	CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C=C(C(OCC(CCCCCC)CCCC)=O)S4)=C(C)S3)S5)C5=C2OCC(CCCC)CC
109	PTB3	S48	5.53 	5.53 	0.740 	13.100 	0.568 	23.7 	15.9 	1.49 	736	5.04 	3.29 	1.63 	CC(S1)=CC2=C1C(CCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCC(CCCC)CC)=O)S4)=C(C)S3)S5)C5=C2CCCCCCCC
122	PTB4	S48	5.90 	5.90 	0.740 	13.000 	0.614 	19.3 	14.6 	1.32 	786	5.12 	3.31 	1.63 	CC(S1)=CC2=C1C(OCCCCCCCC)=C(C=C(C3=C4C(C(F)=C(C(OCC(CCCC)CC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC
110	PBDT-TS1	S49	9.52 	9.52 	0.810 	17.550 	0.672 	99.3 	30.1 	3.30 	982	5.29 	3.69 	1.60 	CC(S1)=CC2=C1C(C3=CC=C(SCCCCCCCC)S3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CCCC)CC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(SCCCCCCCC)S7
111	PBDT-TS2	S49	8.37 	8.37 	0.810 	16.520 	0.623 	28.4 	16.7 	1.70 	982	5.29 	3.70 	1.59 	CC(S1)=CC2=C1C(C3=CC=C(SCC(CCCC)CC)S3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CCCC)CC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(SCC(CC)CCCC)S7
112	PBDT-TS3	S49	7.36 	7.36 	0.810 	16.220 	0.560 	218.4 	70.0 	3.12 	1038	5.29 	3.68 	1.61 	CC(S1)=CC2=C1C(C3=CC=C(SCCC(C)CCCC(C)C)S3)=C(C=C(C4=C5C(C(F)=C(C(OCC(CCCC)CC)=O)S5)=C(C)S4)S6)C6=C2C7=CC=C(SCCC(C)CCCC(C)C)S7
113	PBDTTPD-P1	S50	4.00 	3.90 	0.870 	8.100 	0.560 	105.0 	42.0 	2.50 	737	5.48 	3.73 	1.75 	CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CC(CCCC)CC)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC
114	PBDTTPD-P2	S50	5.70 	5.40 	0.810 	9.700 	0.670 	117.0 	39.0 	3.00 	765	5.57 	3.87 	1.70 	CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCC(C)CCCC(C)C)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC
115	PBDTTPD-P3	S50	6.80 	6.60 	0.850 	11.500 	0.680 	94.5 	35.0 	2.70 	737	5.40 	3.67 	1.73 	CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C4C(C(N(CCCCCCCC)C4=O)=O)=C(C)S3)S5)C5=C2OCC(CCCC)CC
116	PBDT-T8-TPD	S51	6.17 	6.17 	1.000 	9.790 	0.630 	79.8 	37.2 	2.14 	869	5.61 	3.76 	1.85 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=C5C(C(N(CCCCCCCC)C5=O)=O)=C(C)S4)S6)C6=C2C7=CC=C(CC(CC)CCCC)S7
117	PBDT-T10-TPD	S51	4.51 	4.51 	0.920 	8.920 	0.550 	66.5 	36.8 	1.81 	925	5.47 	3.67 	1.80 	CC(S1)=CC2=C1C(C3=CC=C(CCCCCCCCCC)S3)=C(C=C(C4=C5C(C(N(CCCCCCCC)C5=O)=O)=C(C)S4)S6)C6=C2C7=CC=C(CCCCCCCCCC)S7
118	PBDT-T12-TPD	S51	4.50 	4.50 	0.950 	8.940 	0.532 	78.5 	49.9 	1.57 	981	5.56 	3.74 	1.82 	CC(S1)=CC2=C1C(C3=CC=C(CCCCCCCCCCCC)S3)=C(C=C(C4=C5C(C(N(CCCCCCCC)C5=O)=O)=C(C)S4)S6)C6=C2C7=CC=C(CCCCCCCCCCCC)S7
119	PBDTDTBT-p	S52	3.48 	3.48 	0.670 	9.630 	0.540 	53.2 	28.0 	1.90 	1128	5.09 	3.45 	1.64 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCCCC)CCCCCCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(CC(CCCCCC)CCCCCCCC)S9
120	PBDTDTBT-o	S52	5.76 	5.76 	0.750 	11.820 	0.650 	42.5 	25.0 	1.70 	1128	5.11 	3.43 	1.68 	CC(S1)=CC2=C1C(C3=CC(CCCCCCCC)=C(CCCCCCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC(CCCCCCCC)=C(CCCCCCCC)S9
121	PBDTDTBT-m	S52	5.16 	5.16 	0.900 	10.810 	0.530 	32.4 	18.0 	1.80 	1128	5.31 	3.56 	1.75 	CC(S1)=CC2=C1C(C3=C(CCCCCCCC)C=C(CCCCCCCC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=C(CCCCCCCC)C=C(CCCCCCCC)S9
123	PTBF0	S53	5.10 	5.10 	0.580 	14.100 	0.624 	23.2 	16.8 	1.38 	768	4.94 	3.22 	1.59 	CC(S1)=CC2=C1C(OCCCCCCCC)=C(C=C(C3=C4C(C=C(C(OCC(CCCC)CC)=O)S4)=C(C)S3)S5)C5=C2OCCCCCCCC
124	PTBF1	S53	6.20 	6.20 	0.740 	14.000 	0.603 	97.5 	46.4 	2.10 	786	5.15 	3.31 	1.68 	CC(S1)=CC2=C1C(OCC(CC)CCCC)=C(C=C(C3=C4C(C(F)=C(C(OCC(CCCC)CC)=O)S4)=C(C)S3)S5)C5=C2OCC(CC)CCCC
125	PTBF2	S53	3.20 	3.20 	0.680 	11.100 	0.422 	26.7 	11.2 	2.38 	804	5.41 	3.60 	1.75 	CC(S1)=C(F)C2=C1C(OCC(CC)CCCC)=C(C(F)=C(C3=C4C(C=C(C(OCC(CCCC)CC)=O)S4)=C(C)S3)S5)C5=C2OCC(CC)CCCC
126	PTBF3	S53	2.70 	2.70 	0.750 	9.100 	0.394 	78.4 	30.0 	2.61 	822	5.48 	3.59 	1.73 	CC(S1)=C(F)C2=C1C(OCC(CC)CCCC)=C(C(F)=C(C3=C4C(C(F)=C(C(OCC(CCCC)CC)=O)S4)=C(C)S3)S5)C5=C2OCC(CC)CCCC
127	PBT-0F	S54	4.50 	4.40 	0.560 	12.200 	0.667 	61.0 	18.3 	3.33 	1204	4.90 	3.29 	1.61 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C6C(C=C(C(OCC(CCCCCCCC)CCCCCCCC)=O)S6)=C(C7=CC=C(C)S7)S5)S4)S8)C8=C2C9=CC=C(CC(CCCC)CC)S9
128	PBT-1F	S54	5.60 	5.40 	0.600 	14.300 	0.657 	129.0 	44.1 	2.92 	1194	4.95 	3.29 	1.65 	CC(S1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C6C(C(F)=C(C(OCC(CCCCCC)CCCCCCCC)=O)S6)=C(C7=CC=C(C)S7)S5)S4)S8)C8=C2C9=CC=C(CC(CCCC)CC)S9
129	PBT-2F	S54	7.20 	7.10 	0.740 	14.400 	0.677 	31.8 	12.9 	2.46 	1212	5.15 	3.29 	1.64 	CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C6C(C=C(C(OCC(CCCCCCCC)CCCCCC)=O)S6)=C(C7=CC=C(C)S7)S5)S4)S8)C8=C2C9=CC(F)=C(CC(CCCC)CC)S9
130	PBT-3F	S54	8.60 	8.30 	0.780 	15.200 	0.724 	76.4 	41.0 	1.86 	1230	5.20 	3.29 	1.64 	CC(S1)=CC2=C1C(C3=CC(F)=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C6C(C(F)=C(C(OCC(CCCCCCCC)CCCCCC)=O)S6)=C(C7=CC=C(C)S7)S5)S4)S8)C8=C2C9=CC(F)=C(CC(CCCC)CC)S9
131	PBnDT-HTAZ	S55	4.36 	4.30 	0.700 	11.140 	0.552 	122.3 	47.6 	2.57 	1032	5.29 	2.87 	1.98 	CC(S1)=CC2=C1C(CCC(CCCCCC)CCCC)=C(C=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NN(CC(CCCCCC)CCCC)N=C64)S3)S7)C7=C2CCC(CCCC)CCCCCC
132	PBnDT-FTAZ	S55	7.10 	6.81 	0.790 	11.830 	0.729 	99.6 	42.2 	2.36 	1068	5.36 	3.05 	2.00 	CC(S1)=CC2=C1C(CCC(CCCCCC)CCCC)=C(C=C(C3=CC=C(C4=C(F)C(F)=C(C5=CC=C(C)S5)C6=NN(CC(CCCCCC)CCCC)N=C64)S3)S7)C7=C2CCC(CCCC)CCCCCC
133	PBDFDTBT	S56	5.01 	5.01 	0.780 	11.770 	0.546 	10.1 	6.3 	1.60 	965	5.10 	3.50 	1.60 	CC(O1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C(CC(CC)CCCC)C=C(C4=CC=C(C5=CC(CC(CCCC)CC)=C(C)S5)C6=NSN=C64)S3)O7)C7=C2OCC(CCCC)CC
134	PBDFDODTBT	S57	4.45 	4.45 	0.690 	9.870 	0.653 	14.0 	7.0 	2.00 	997	5.11 	3.38 	1.73 	CC(O1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC=C(C4=C(OCCCCCCCC)C(OCCCCCCCC)=C(C5=CC=C(C)S5)C6=NSN=C64)S3)O7)C7=C2OCC(CCCC)CC
135	PBDFDTBTz	S57	1.24 	1.24 	0.440 	4.920 	0.575 	18.2 	9.6 	1.90 	835	4.99 	3.06 	1.93 	CC(O1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NN(CCCCCCCC)N=C64)S3)O7)C7=C2OCC(CCCC)CC
136	PBDFDTBO	S57	2.88 	2.88 	0.820 	5.040 	0.700 	32.4 	27.0 	1.20 	981	5.19 	3.49 	1.70 	CC(O1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC=C(C4=C(OCCCCCCCC)C(OCCCCCCCC)=C(C5=CC=C(C)S5)C6=NON=C64)S3)O7)C7=C2OCC(CCCC)CC
137	PBDTT-BT	S58	1.85 	1.85 	0.880 	5.830 	0.360 	32.6 	6.8 	4.80 	1072	5.26 	3.59 	1.67 	CC(S1)=CC2=C1C(C3=CC=C(CCCCCC)S3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=CC=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(CCCCCC)S9
138	PBDTF-BT	S58	2.88 	2.88 	0.850 	8.410 	0.403 	22.8 	7.6 	3.00 	1040	5.24 	3.54 	1.70 	CC(S1)=CC2=C1C(C3=CC=C(CCCCCC)O3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=CC=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C75)S4)S8)C8=C2C9=CC=C(CCCCCC)O9
139	PBDFT-BT	S58	4.42 	4.42 	0.730 	9.940 	0.609 	11.6 	4.0 	2.90 	1040	5.08 	3.40 	1.68 	CC(O1)=CC2=C1C(C3=CC=C(CCCCCC)S3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=CC=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C75)S4)O8)C8=C2C9=CC=C(CCCCCC)S9
140	PBDFF-BT	S58	2.60 	2.60 	0.800 	5.840 	0.556 	13.0 	5.2 	2.50 	1008	5.11 	3.50 	1.61 	CC(O1)=CC2=C1C(C3=CC=C(CCCCCC)O3)=C(C=C(C4=C(CC(CC)CCCC)C=C(C5=CC=C(C6=CC(CC(CCCC)CC)=C(C)S6)C7=NSN=C75)S4)O8)C8=C2C9=CC=C(CCCCCC)O9
141	PBDFFBT	S59	3.30 	3.30 	0.620 	9.170 	0.584 	6.5 	5.4 	1.20 	1095	5.33 	3.73 	1.60 	CC(O1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC(F)=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)C6=NSN=C64)S3)O7)C7=C2OCC(CCCC)CC
142	PBDTFBT	S59	4.00 	4.00 	0.720 	9.310 	0.600 	15.2 	6.1 	2.50 	1127	5.30 	3.66 	1.64 	CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=C(CCCCCCCCCCCC)C=C(C4=CC(F)=C(C5=CC(CCCCCCCCCCCC)=C(C)S5)C6=NSN=C64)S3)S7)C7=C2OCC(CCCC)CC
143	PBDTBO	S60	5.70 	5.70 	0.860 	10.400 	0.644 	254.2 	62.0 	4.10 	1012	5.27 	3.53 	1.74 	CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC=C(C4=C(OCCCCCCCC)C(OCCCCCCCC)=C(C5=CC=C(C)S5)C6=NON=C64)S3)S7)C7=C2OCC(CCCC)CC
144	PBDTDTBTz	S61	1.70 	1.70 	0.610 	4.500 	0.620 	18.6 	9.3 	2.00 	867	5.06 	3.11 	1.95 	CC(S1)=CC2=C1C(OCC(CCCC)CC)=C(C=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NN(CCCCCCCC)N=C64)S3)S7)C7=C2OCC(CCCC)CC
145	PBDTTDTBO	S62	5.90 	5.90 	0.840 	11.450 	0.613 	70.2 	41.3 	1.70 	1113	5.25 	3.56 	1.69 	CC(O1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(OCCCCCCCC)C(OCCCCCCCC)=C(C6=CC=C(C)S6)C7=NON=C75)S4)O8)C8=C2C9=CC=C(CC(CCCC)CC)S9
146	PBDTTDTBT	S62	4.94 	4.94 	0.750 	10.290 	0.640 	25.1 	16.7 	1.50 	1129	5.15 	3.49 	1.66 	CC(O1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=C(OCCCCCCCC)C(OCCCCCCCC)=C(C6=CC=C(C)S6)C7=NSN=C75)S4)O8)C8=C2C9=CC=C(CC(CCCC)CC)S9
147	PBDTTDTBTz	S62	3.10 	3.10 	0.540 	9.470 	0.606 	10.5 	3.4 	3.10 	967	4.92 	3.14 	1.78 	CC(O1)=CC2=C1C(C3=CC=C(CC(CCCC)CC)S3)=C(C=C(C4=CC=C(C5=CC=C(C6=CC=C(C)S6)C7=NN(CCCCCCCC)N=C75)S4)O8)C8=C2C9=CC=C(CC(CCCC)CC)S9
148	PBDT?DTBSe	S63	5.18 	5.18 	0.600 	13.580 	0.640 	42.2 	20.1 	2.10 	1157	5.18 	3.63 	1.55 	CC(S1)=CC2=C1C(OCC(CCCCCCCCCC)CCCCCCCC)=C(C=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=N[Se]N=C64)S3)S7)C7=C2OCC(CCCCCCCCCC)CCCCCCCC
149	PBDT?DTBT	S63	5.01 	5.01 	0.720 	11.160 	0.620 	46.2 	22.0 	2.10 	1109	5.26 	3.54 	1.72 	CC(S1)=CC2=C1C(OCC(CCCCCCCCCC)CCCCCCCC)=C(C=C(C3=CC=C(C4=CC=C(C5=CC=C(C)S5)C6=NSN=C64)S3)S7)C7=C2OCC(CCCCCCCCCC)CCCCCCCC
